Search Parameters,Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
,350,,,,,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,,,,,,,,,,,,,,,,,,,,,,
,416,,,39,,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,,W,,1,,,,,,1,,,,3,,,,,,4,,
,450,,,,,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,6,,30000,4,,,,,,,,,30000,4,,,,,,,,
,500,,,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,,,,,,,,1,,,,,,,,,,1,,
,590,,,,,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,,,,1,,,,,,,,,,1,,,,,,,,
,640,,,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1900,Volcanic field,2,T,,1,,,,,,,,,,1,,,,,,,,
,653,,,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.056,150.108,400,Caldera,6,,,,,,,,,,,,,,,,,,,,,
,683,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,6,,,,,,,,,1,,,,,,,,,,,,
,710,,,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,6,,,,,,,,,,,,,,,,,,,,,
,764,,,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4,"T,L",80,2,,,,,,,,,80,2,,,,,,,,
,766,7,20,61,7341,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3,,,3,,,,,,,,,,3,,,,,,,,
,787,,,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,,1,,,,,,1,,,,1,,,,,,1,,
,847,,,,,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
,920,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,,,
,930,,,,,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
,934,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
,946,,,,,Changbaishan,China-E,North Korea,41.98,128.08,2744,Stratovolcano,7,,,,,,,,,,,,,,,,,,,,,
,950,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,,,,,,,,,,1,,,,,,,,,,,,
,1050,,,3102,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,,,,,,,,,,,,,,,,,,,,,,
,1104,10,15,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,5,,,,,,,,,1,,,,,,,,,,1,,
,1151,,,,,Krisuvik,Iceland-SW,Iceland,63.93,-22.1,379,Crater rows,1,,,,,,,,,1,,,,,,,,,,1,,
,1158,1,19,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1169,2,4,2852,421,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,"S,W",,,,,,,,,,,16000,4,,,,,,4,,
,1169,2,11,3107,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
,1177,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1206,12,4,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1250,,,,,Fentale,Africa-NE,Ethiopia,8.975,39.93,2007,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
,1262,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,3,F,,1,,,,,,,,,,1,,,,,,,,
,1280,,,,,Quilotoa,Ecuador,Ecuador,-0.85,-78.9,3914,Caldera,6,,,,,,,,,1,,,,,,,,,,,,
,1300,7,11,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,,,,,,,,,,,600,3,,,,,,,,
,1302,,,,,Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,,,,1,,,,,,,,,,1,,,,,,,,
,1311,1,18,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,F,,2,,,,,,,,,,2,,,,,,,,
,1311,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1329,6,28,3112,9973,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,,,,,,,,,,,,,,,,,,,1,,1
,1329,7,,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1,I,,3,,,,,,,,,,3,,,,,,,,
,1331,12,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,,,1,,,,,,,,,,1,,,,,,,,
,1334,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1341,5,19,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1357,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1362,6,5,,,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2119,Stratovolcano,5,"T,F",220,3,,,,,,,,,220,3,,,,,,,,
,1375,,,,,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,M,,2,,,,,,,,,,2,,,,,,,,
,1376,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1385,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1389,12,1,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1410,3,5,,,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,3,,180,3,,,,,,,,,180,3,,,,,,,,
,1430,,,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,,P,,3,,,,,,,,,,3,,,,,,,,
,1471,11,3,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,5,P,,3,,,,,,,,,,3,,,,,,,,
,1477,2,,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,6,,,,,,,,,1,,,,,,,,,,1,,
,1485,1,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,,1,1,,,,,,,,,1,1,,,,,,,,
,1500,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1510,7,25,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,T,1,1,,,,,,,,,1,1,,,,,,,,
,1510,10,15,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,I,,,,,,,,,,,,3,,,,,,,,
,1536,3,23,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,T,1,1,,,,,,,,,1,1,,,,,,,,
,1538,9,29,,,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,3,T,24,1,,,,,,,,,24,1,,,,,,,,
,1540,,,2874,,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,4,,,,,,,,,,,,,,,,,,,,,
,1550,11,,,,Dukono,Halmahera-Indonesia,Indonesia,1.68,127.88,1185,Complex volcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1564,12,31,,,Gamkonora,Halmahera-Indonesia,Indonesia,1.375,127.52,1635,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1565,8,,,9788,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1566,10,31,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,,3,,,,,,,,,,3,,,,,,,,
,1568,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,510,Stratovolcano,3,"P,T,M",1001,4,,,,,,,,,1001,4,,,,,,,,
,1570,,,,,Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344,Stratovolcano,,A,400,3,,,,,,,,,400,3,,,,,,,,
,1572,,,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,3,L,,,,,,,,2,,,,,,,,,,2,,
,1576,,,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1580,5,1,,,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,3,P,10,1,,,,,,,,,10,1,,,,,,,,
,1580,8,11,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,,,,,,,,,,,,,,,,,,,,
,1580,,,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,-6.092,155.225,1544,Pyroclastic shield,6,,,,,,,,,,,,,,,,,,,,,
,1581,12,26,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1586,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,5,,10000,4,,,,,,,,,10000,4,,,,,,,,
,1587,,,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,4,,,1,,,,,,,,,,1,,,,,,,,
,1590,1,15,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,3,I,,3,,,,,,,,,,3,,,,,,,,
,1593,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,5,,,3,,,,,,,,,,3,,,,,,,,
,1595,3,12,,,Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,4,M,636,3,,,,,,,,,636,3,,,,,,,,
,1596,5,1,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,,3,,,,,,,,,,3,,,,,,,,
,1597,1,3,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1597,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,3,T,,1,,,,,,,,,,1,,,,,,,,
,1598,5,13,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,800,3,,,,,,,,,800,3,,,,,,,,
,1598,,,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,,,1,,,,,,,,,,1,,,,,,,,
,1600,2,19,,814,Huaynaputina,Peru,Peru,-16.608,-70.85,4850,Stratovolcano,6,,1500,4,,,,,,,,,1500,4,,,,,,,,
,1606,1,23,219,,Hachijo-jima,Izu Is-Japan,Japan,33.13,139.77,854,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
,1608,7,18,222,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,3,,,,,,,,,1,,,,1,,,,,,1,,
,1609,,,,,Tengchong,China-S,China,25.32,98.47,2865,Pyroclastic cone,,E,,1,,,,,,,,,,1,,,,,,,,
,1615,3,,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,,,,,,,,,2,,2,,,,,,,,2,,2
,1617,,,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
,1625,9,2,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,5,,,,,,,,,,,,,,,,,,,,,
,1629,,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,2,F,4,1,,,,,,,,,4,1,,,,,,,,
,1630,9,3,,,Furnas,Azores,Portugal,37.77,-25.32,805,Stratovolcano,4,"M,T",200,3,,,,,,,,,200,3,,,,,,,,
,1631,2,14,,920,Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068,Shield volcano,,S,50,1,,,,,,2,,,50,1,,,,,,2,,
,1631,12,16,3129,9756,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,E,M",4000,4,,,,,,4,,4,4000,4,,,,,,4,,4
,1636,5,15,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1638,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,4,M,1001,4,,,,,,,,,1001,4,,,,,,,,
,1640,7,31,253,942,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,5,W,,,,,,,,,,,700,3,,,,,,1,20,1
,1640,,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,P,5000,4,,,,,,,,4,5000,4,,,,,,,,4
,1646,7,19,5754,10519,Makian,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,P,,3,,,,,,,,,,3,,,,,,,,
,1650,9,26,269,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,4,"G,W,T",120,3,,,,,,1,,,120,3,,,,,,1,,
,1659,9,30,,6879,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,3,S,,,,,,,,,,,,,,,,,,,,
,1659,11,11,285,,Teon,Banda Sea,Pacific Ocean,-6.92,129.125,655,Stratovolcano,4,,,,,,,,,,,,,,,,,,,,,
,1660,2,,,,Teon,Banda Sea,Pacific Ocean,-6.92,129.125,655,Stratovolcano,4,"G,T",3,1,,,,,,,,,3,1,,,,,,,,
,1660,11,3,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1660,,,5482,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,6,"T,P,W,I",2000,4,,,,,,3,,3,2000,4,,,,,,3,,3
,1663,8,16,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,5,"T,P",5,1,,,,,,,,,5,1,,,,,,,,
,1664,4,15,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,2,m,30,1,,,,,,,,,30,1,,,,,,,,
,1664,,,293,,Iwo-Tori-shima,Ryukyu Is,Japan,27.85,128.25,217,Complex volcano,,A,,1,,,,,,,,,,1,,,,,,1,,1
,1669,3,11,,1057,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,,,3,,,,,,,,,,3,,,,,,,,
,1669,3,19,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,L,2,1,,,5,1,,,,,2,1,,,5,1,,,,
,1670,,,,,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,2,L,,3,,,,,,,,,,3,,,,,,,,
,1672,4,24,,,Fayal,Azores,Portugal,38.6,-28.73,1043,Stratovolcano,2,,3,1,,,,,,,,,3,1,,,,,,,,
,1672,8,4,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,P,3000,4,,,,,,,,,3000,4,,,,,,,,
,1673,5,20,312,,Gamkonora,Halmahera-Indonesia,Indonesia,1.375,127.52,1635,Stratovolcano,5,W,,,,,,,,1,,1,,3,,,,,,1,,1
,1677,11,22,,,La Palma,Canary Is,Spain,28.58,-17.83,2426,Stratovolcano,2,G,1,1,,,,,,,,,1,1,,,,,,,,
,1679,9,21,,8202,Zukur,Red Sea,Yemen,14.02,42.75,624,Shield volcano,,,,,,,,,,,,,,,,,,,,,,
,1682,8,12,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,4,1,,,,,,,,,4,1,,,,,,,,
,1684,12,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,2,F,1,1,,,,,,,,,1,1,,,,,,,,
,1690,2,3,3138,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,,,,,,,,,,,,,,,,,,,,,,
,1690,,,,,Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1692,6,4,,,Serua,Banda Sea,Pacific Ocean,-6.3,130,641,Stratovolcano,4,L,,2,,,,,,,,,,2,,,,,,,,
,1693,1,9,,1129,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
,1693,2,13,347,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,,,,,,,,,,,,,,,,,,,,
,1694,11,20,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,,,2,,,,,,,,,,2,,,,,,,,
,1698,5,,3141,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,,,,,,,,,,,,,,,,,,,,
,1698,,,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,3,M,,2,,,,,,,,,,2,,,,,,,,
,1698,,,,,Cereme,Java,Indonesia,-6.892,108.4,3078,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1706,5,5,375,,Tenerife,Canary Is,Spain,28.271,-16.641,3715,Stratovolcano,2,,,,,,,,,3,,,,,,,,,,3,,
,1707,5,,3148,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,,,,,,,,,,,,,,,,,,,,,,
,1707,12,16,,1178,Fuji,Honshu-Japan,Japan,35.35,138.73,3776,Stratovolcano,4,,,1,,,,,,1,75,1,,1,,,,,,1,75,1
,1711,12,11,,,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,3,P,3000,4,,,,,,,,,3000,4,,,,,,,,
,1712,1,15,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1714,6,30,3150,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,,,,,,,,,,,,,,,,,,,,,,
,1716,7,20,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,2,M,,1,,,,,,,,,,1,,,,,,,,
,1716,9,24,387,1205,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,4,,,1,,,,,,,,,,1,,,,,,3,,3
,1716,10,5,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1716,11,9,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,1,1,,,31,1,,,,,1,1,,,31,1,,,,
,1717,2,7,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,1,1,,,30,1,,,,,1,1,,,30,1,,,,
,1717,8,4,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1717,8,27,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1718,2,1,,,Pico,Azores,Portugal,38.47,-28.4,2351,Stratovolcano,2,,2,1,,,,,,,,,2,1,,,,,,,,
,1721,5,11,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,5,,,,,,,,,1,,,,,,,,,,1,,
,1721,6,22,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,1,T,15,1,,,,,,,,,15,1,,,,,,,,
,1726,2,1,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,1,,,,,,,,,1,,,,,,,,,,1,,
,1727,8,3,,,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2119,Stratovolcano,4,F,3,1,,,,,,,,,3,1,,,,,,,,
,1729,2,1,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,1,,,,,,,,,1,,,,,,,,,,1,,
,1729,6,30,,,Krafla,Iceland-NE,Iceland,65.73,-16.78,650,Caldera,2,,,,,,,,,1,,,,,,,,,,1,,
,1730,9,1,,,Lanzarote,Canary Is,Spain,29.03,-13.63,670,Fissure vent,2,,,1,,,,,,,,,,1,,,,,,,,
,1730,,,,,Tseax River Cone,Canada,Canada,55.12,-128.9,609,Pyroclastic cone,,G,,1,,,,,,,,,,1,,,,,,,,
,1730,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,3,"M,T",,2,,,,,,,,,,2,,,,,,,,
,1737,5,20,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,T,2,1,,,,,,2,,,2,1,,,,,,2,,
,1741,8,23,419,,Oshima-Oshima,Hokkaido-Japan,Japan,41.5,139.37,737,Stratovolcano,4,"W,S",,,,,,,,,,,2000,4,,,,,,3,871,3
,1742,6,15,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,3,M,,3,,,,,,3,,,,3,,,,,,3,,
,1742,12,9,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,3,M,,3,,,,,,3,,,,3,,,,,,3,,
,1749,8,11,431,1304,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,3,,,1,,,,,,1,,,,1,,,,,,3,,3
,1753,10,15,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,2,,,,,,,,,1,,,,,,,,,,1,,
,1754,11,28,2853,1328,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,4,"W,T",,1,,,,,,4,,4,12,1,,,,,,4,,4
,1755,10,17,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,E,2,1,,,,,,,,,2,1,,,,,,,,
,1757,7,9,,1348,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,0,S,,,,,,,,,,,1053,4,,,,,,3,,4
,1760,,,,,Makian,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,M,2000,4,,,,,,,,,2000,4,,,,,,,,
,1762,,,,,Kliuchevskoi,Kamchatka,Russia,56.057,160.638,4835,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1766,4,5,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1766,7,20,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,m,49,1,,,,,,,,,49,1,,,,,,,,
,1768,4,4,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,4,M,,3,,,,,,3,,,,3,,,,,,3,,
,1772,5,9,504,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,3,T,35,1,,,,,,,,,35,1,,,,,,,,
,1772,8,12,,,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,3,A,2957,4,,,,,,,,3,2957,4,,,,,,,,3
