Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
1961,08,18,Asama,Honshu-Japan,Japan,36.4,138.53,2560.0,Complex volcano,2.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1962,06,29,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077.0,Stratovolcano,3.0,T,5.0,1.0,,,11.0,1.0,,,,,5.0,1.0,,,11.0,1.0,,,,
1962,12,31,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715.0,Stratovolcano,2.0,,5.0,1.0,,,5.0,1.0,,,,,5.0,1.0,,,5.0,1.0,,,,
1963,03,17,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432.0,Stratovolcano,3.0,T,15.0,1.0,,,,,,,,,15.0,1.0,,,,,,,,
1963,03,18,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142.0,Stratovolcano,5.0,"P,T,M,A",1028.0,4.0,,3.0,624.0,3.0,,,,,1028.0,4.0,,3.0,624.0,3.0,,,,
1963,05,05,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,2.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1963,05,16,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142.0,Stratovolcano,3.0,,120.0,2.0,,,,,,,,,120.0,2.0,,,,,,,,
1963,05,21,Villarrica,Chile-C,Chile,-39.42,-71.93,2847.0,Stratovolcano,2.0,M,,1.0,,,,,,,,,,1.0,,,,,,,,
1963,09,05,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717.0,Caldera,2.0,,2.0,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0
1963,09,28,Fuego,Guatemala,Guatemala,14.472999999999999,-90.88,3763.0,Stratovolcano,3.0,M,7.0,1.0,,,,,,,,,7.0,1.0,,,,,,,,
1963,12,10,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432.0,Stratovolcano,3.0,"M,T",40.0,1.0,,,,1.0,,2.0,400.0,3.0,40.0,1.0,,,,1.0,,2.0,400.0,3.0
1964,01,01,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875.0,Stratovolcano,2.0,,1.0,1.0,,,3.0,1.0,,,,,1.0,1.0,,,3.0,1.0,,,,
1964,03,03,Villarrica,Chile-C,Chile,-39.42,-71.93,2847.0,Stratovolcano,2.0,M,25.0,1.0,,,,,,,,,25.0,1.0,,,,,,,,
1964,12,13,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565.0,Complex volcano,1.0,,114.0,3.0,,,,,,,,,114.0,3.0,,,,,,,,
1965,09,28,Taal,Luzon-Philippines,Philippines,14.002,120.993,400.0,Stratovolcano,4.0,"P,W",355.0,3.0,,,,,,1.0,,1.0,355.0,3.0,,,,,,1.0,,1.0
1965,10,24,Kick-'em-Jenny,W Indies,Netherlands,12.3,-61.63,-177.0,Submarine volcano,0.0,,,,,,,,,,,,,,,,,,,,,
1966,01,13,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851.0,Stratovolcano,3.0,,,,,,,,,,,,,,,,,,,,,
1966,04,26,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731.0,Stratovolcano,4.0,"M,m,P",215.0,3.0,78.0,2.0,86.0,2.0,,,,,215.0,3.0,78.0,2.0,86.0,2.0,,,,
1966,08,12,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320.0,Stratovolcano,4.0,"P,M,I",39.0,1.0,,,1000.0,3.0,,,,2.0,39.0,1.0,,,1000.0,3.0,,,,2.0
1966,08,14,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.7510000000000003,35.902,2890.0,Stratovolcano,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1967,07,08,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.7510000000000003,35.902,2890.0,Stratovolcano,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1967,08,31,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,3.0,M,3.0,1.0,,,,,,1.0,,,3.0,1.0,,,,,,1.0,,
1967,12,04,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576.0,Caldera,3.0,,,,,,,,,,,,,,,,,,,,,
1968,04,21,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462.0,Stratovolcano,3.0,"M,P",6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,
1968,07,29,Arenal,Costa Rica,Costa Rica,10.463,-84.70299999999999,1657.0,Stratovolcano,3.0,"P,T",80.0,2.0,,,,,,,,,80.0,2.0,,,,,,,,
1969,01,07,Merapi,Java,Indonesia,-7.542000000000001,110.44200000000001,2947.0,Stratovolcano,2.0,P,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1969,01,28,Iya,Lesser Sunda Is,Indonesia,-8.88,121.63,637.0,Stratovolcano,3.0,"T,m",2.0,1.0,,,10.0,1.0,,,287.0,3.0,2.0,1.0,,,10.0,1.0,,,287.0,3.0
1969,03,21,Didicas,Luzon-N of,Philippines,19.077,122.20200000000001,244.0,Compound volcano,2.0,W,,,,,,,,,,,3.0,1.0,,,,,,,,
1969,08,26,Narugo,Honshu-Japan,Japan,38.73,140.73,462.0,Caldera,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1970,03,02,Campi Flegrei,Italy,Italy,40.827,14.139000000000001,458.0,Caldera,,S,3.0,1.0,,,,,,1.0,,1.0,3.0,1.0,,,,,,1.0,,1.0
1970,05,05,Hekla,Iceland-S,Iceland,63.98,-19.7,1491.0,Stratovolcano,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1971,08,12,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905.0,Stratovolcano,3.0,M,5.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1971,09,06,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851.0,Stratovolcano,2.0,,,,,,,,,,,,,,,,,,,,,
1971,09,14,Fuego,Guatemala,Guatemala,14.472999999999999,-90.88,3763.0,Stratovolcano,3.0,"M,T",10.0,1.0,,,,,,,,,10.0,1.0,,,,,,,,
1971,10,26,La Palma,Canary Is,Spain,28.58,-17.83,2426.0,Stratovolcano,2.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,
1971,10,29,Villarrica,Chile-C,Chile,-39.42,-71.93,2847.0,Stratovolcano,2.0,M,15.0,1.0,,,,,,,,,15.0,1.0,,,,,,,,
1971,12,27,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176.0,Stratovolcano,,G,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,
1972,06,09,"Fournaise, Piton de la",Indian O-W,Reunion,-21.229,55.713,2631.0,Shield volcano,2.0,I,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1972,10,02,Hakone,Honshu-Japan,Japan,35.22,139.02,1438.0,Complex volcano,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
1972,10,09,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140.0,Stratovolcano,1.0,,,,,,,,,,,,,,,,,,,,,
1973,01,27,Vestmannaeyjar,Iceland-S,Iceland,63.43,-20.28,279.0,Submarine volcano,3.0,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1973,04,05,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905.0,Stratovolcano,,M,2.0,1.0,,,,,,1.0,,1.0,2.0,1.0,,,,,,1.0,,1.0
1974,02,11,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784.0,Stratovolcano,3.0,A,4.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,
1974,06,17,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117.0,Stratovolcano,3.0,M,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1974,07,28,Niigata-Yake-yama,Honshu-Japan,Japan,36.92,138.03,2400.0,Lava dome,2.0,T,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1974,08,09,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117.0,Stratovolcano,3.0,M,5.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,
1974,10,10,Fuego,Guatemala,Guatemala,14.472999999999999,-90.88,3763.0,Stratovolcano,4.0,"T,M",,1.0,,,,,,2.0,,3.0,,1.0,,,,,,2.0,,3.0
1974,10,17,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140.0,Stratovolcano,1.0,,,,,,,,,,,,,,,,,,,,,
1974,10,22,Merapi,Java,Indonesia,-7.542000000000001,110.44200000000001,2947.0,Stratovolcano,2.0,M,9.0,1.0,,,,,,,6.0,1.0,9.0,1.0,,,,,,,6.0,1.0
1975,06,17,Arenal,Costa Rica,Costa Rica,10.463,-84.70299999999999,1657.0,Stratovolcano,3.0,,2.0,1.0,,,,1.0,,,,,2.0,1.0,,,,1.0,,,,
1975,11,29,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222.0,Shield volcano,0.0,W,,,,,,,,,,,2.0,1.0,,,,1.0,4.0,2.0,,
1976,08,03,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176.0,Stratovolcano,,G,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1976,08,12,Sangay,Ecuador,Ecuador,-2.03,-78.33,5230.0,Stratovolcano,3.0,T,2.0,1.0,,,4.0,1.0,,,,,2.0,1.0,,,4.0,1.0,,,,
1976,08,31,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,2.0,M,119.0,3.0,,,,,,,,,119.0,3.0,,,,,,,,
1976,09,15,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784.0,Stratovolcano,2.0,P,1.0,1.0,,,1.0,1.0,,,24.0,1.0,1.0,1.0,,,1.0,1.0,,,24.0,1.0
1976,11,25,Merapi,Java,Indonesia,-7.542000000000001,110.44200000000001,2947.0,Stratovolcano,2.0,M,29.0,1.0,,,,,,,,,29.0,1.0,,,,,,,,
1977,01,10,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470.0,Stratovolcano,1.0,L,,2.0,,,,,,3.0,,,,2.0,,,,,,3.0,,
1977,04,05,Karthala,Indian O-W,Comoros,-11.75,43.38,2361.0,Shield volcano,0.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,
1977,04,27,Krafla,Iceland-NE,Iceland,65.73,-16.78,650.0,Caldera,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1977,08,02,Kliuchevskoi,Kamchatka,Russia,56.056999999999995,160.638,4835.0,Stratovolcano,3.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1977,08,07,Usu,Hokkaido-Japan,Japan,42.53,140.83,731.0,Stratovolcano,3.0,I,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1978,01,13,Usu,Hokkaido-Japan,Japan,42.53,140.83,731.0,Stratovolcano,3.0,m,3.0,1.0,,,2.0,1.0,,,,,3.0,1.0,,,2.0,1.0,,,,
1978,07,29,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565.0,Stratovolcano,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1978,09,02,Santa Maria,Guatemala,Guatemala,14.755999999999998,-91.552,3772.0,Stratovolcano,3.0,M,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1978,09,19,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,3.0,M,12.0,1.0,,,,,,,,,12.0,1.0,,,,,,,,
1979,02,20,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565.0,Complex volcano,1.0,G,149.0,3.0,,,,,,,,,149.0,3.0,,,,,,,,
1979,03,08,Karkar,New Guinea-NE of,Papua New Guinea,-4.649,145.964,1839.0,Stratovolcano,2.0,P,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
1979,04,13,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220.0,Stratovolcano,3.0,"T,P",2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
1979,07,05,Etna,Italy,Italy,37.734,15.004000000000001,3350.0,Stratovolcano,2.0,T,9.0,1.0,,,23.0,1.0,,,,,9.0,1.0,,,23.0,1.0,,,,
1979,07,18,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018.0,Complex volcano,,W,,,,,,,,,,,1239.0,4.0,,,32.0,1.0,,3.0,,3.0
1979,09,06,Aso,Kyushu-Japan,Japan,32.88,131.1,1592.0,Caldera,2.0,T,3.0,1.0,,,11.0,1.0,,,,,3.0,1.0,,,11.0,1.0,,,,
1980,05,18,St. Helens,US-Washington,United States,46.2,-122.18,2549.0,Stratovolcano,5.0,"P,M,T",57.0,2.0,,,,,2000.0,4.0,,,61.0,2.0,,,,,2000.0,4.0,,
1980,08,17,Hekla,Iceland-S,Iceland,63.98,-19.7,1491.0,Stratovolcano,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1980,12,25,Hood,US-Oregon,United States,45.373999999999995,-121.694,3426.0,Stratovolcano,,m,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1981,03,17,Etna,Italy,Italy,37.734,15.004000000000001,3350.0,Stratovolcano,2.0,,,,,,,,10.0,3.0,,,,,,,,,,,,
1981,03,29,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,3.0,P,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1981,04,27,Alaid,Kuril Is,Russia,50.858000000000004,155.55,2339.0,Stratovolcano,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1981,05,14,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,3.0,m,372.0,3.0,120.0,3.0,152.0,3.0,,,,,372.0,3.0,120.0,3.0,152.0,3.0,,,,
1981,06,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462.0,Stratovolcano,,m,200.0,3.0,,,,,,,,,200.0,3.0,,,,,,,,
1981,09,05,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875.0,Stratovolcano,2.0,P,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0
1981,10,20,Krakatau,Indonesia,Indonesia,-6.102,105.42299999999999,813.0,Caldera,1.0,"A,T,W",,,,,,,,,,,,,,,,,,,,
1982,03,29,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150.0,Tuff cone,5.0,"P,T,M,S",1879.0,4.0,1755.0,4.0,,,3.3,2.0,,,1879.0,4.0,1755.0,4.0,,,3.3,2.0,,
1982,04,04,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150.0,Tuff cone,5.0,P,33.0,1.0,,,,,,,,,33.0,1.0,,,,,,,,
1982,05,17,Galunggung,Java,Indonesia,-7.25,108.05,2168.0,Stratovolcano,4.0,"I,T",68.0,2.0,,,,,15.0,3.0,,,68.0,2.0,,,,,15.0,3.0,,
1982,05,27,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150.0,Tuff cone,5.0,m,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1983,03,08,Kliuchevskoi,Kamchatka,Russia,56.056999999999995,160.638,4835.0,Stratovolcano,2.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1983,07,23,Colo [Una Una],Sulawesi-Indonesia,Indonesia,-0.17,121.60799999999999,507.0,Stratovolcano,4.0,,,,,,,,,2.0,,3.0,,,,,,,,2.0,,3.0
1983,08,17,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018.0,Complex volcano,1.0,W,,,,,,,,,,,,,,,,,,,,
1983,10,03,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815.0,Stratovolcano,3.0,,,,,,,,,1.0,,,,,,,,,,2.0,,
1984,08,15,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,3011.0,Maar,,G,37.0,1.0,,,,,,,,,37.0,1.0,,,,,,,,
1984,09,09,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462.0,Stratovolcano,3.0,M,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1984,09,14,On-take,Honshu-Japan,Japan,35.9,137.48,3063.0,Complex volcano,,A,29.0,1.0,,,,,,,,,29.0,1.0,,,,,,,,
1984,10,16,Etna,Italy,Italy,37.734,15.004000000000001,3350.0,Stratovolcano,3.0,S,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1985,05,10,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,3.0,A,70.0,2.0,,,,,,,,,70.0,2.0,,,,,,,,
1985,11,13,Ruiz,Colombia,Colombia,4.895,-75.322,5321.0,Stratovolcano,3.0,M,23080.0,4.0,,,10000.0,4.0,,,,,23080.0,4.0,,,10000.0,4.0,,,,
1985,12,19,Etna,Italy,Italy,37.734,15.004000000000001,3350.0,Stratovolcano,1.0,S,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1986,05,08,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366.0,Complex volcano,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1986,07,24,Stromboli,Italy,Italy,38.789,15.213,926.0,Stratovolcano,2.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1986,08,21,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,3011.0,Maar,3.0,G,1700.0,4.0,,,300.0,3.0,,,,,1700.0,4.0,,,300.0,3.0,,,,
1986,10,15,Merapi,Java,Indonesia,-7.542000000000001,110.44200000000001,2947.0,Stratovolcano,2.0,M,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1986,11,15,Oshima,Izu Is-Japan,Japan,34.73,139.38,758.0,Stratovolcano,3.0,I,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1987,01,25,Pacaya,Guatemala,Guatemala,14.380999999999998,-90.601,2552.0,Complex volcano,3.0,,,,,,15.0,1.0,,1.0,63.0,2.0,,,,,15.0,1.0,,1.0,63.0,2.0
1987,04,17,Etna,Italy,Italy,37.734,15.004000000000001,3350.0,Stratovolcano,2.0,T,2.0,1.0,,,7.0,1.0,,,,,2.0,1.0,,,7.0,1.0,,,,
1987,12,01,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,862.0,Complex volcano,,,,,,,,,,,,,125.0,3.0,,,,3.0,5.0,3.0,237.0,3.0
1988,05,09,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640.0,Caldera,3.0,"T,L",4.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,
1988,07,06,Arenal,Costa Rica,Costa Rica,10.463,-84.70299999999999,1657.0,Stratovolcano,3.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1988,07,30,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,3.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1988,12,25,Lonquimay,Chile-C,Chile,-38.376999999999995,-71.58,2865.0,Stratovolcano,3.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1989,02,12,Aso,Kyushu-Japan,Japan,32.88,131.1,1592.0,Caldera,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1989,08,26,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700.0,Shield volcano,,G,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
1990,02,02,Shiveluch,Kamchatka,Russia,56.653,161.36,3283.0,Stratovolcano,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1990,02,10,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731.0,Stratovolcano,4.0,"T,P",32.0,1.0,,,,,,,,,32.0,1.0,,,,,,,,
1990,03,26,Aso,Kyushu-Japan,Japan,32.88,131.1,1592.0,Caldera,2.0,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1990,04,18,Aso,Kyushu-Japan,Japan,32.88,131.1,1592.0,Caldera,2.0,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1990,05,29,Sabancaya,Peru,Peru,-15.78,-71.85,5967.0,Stratovolcano,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1990,06,24,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688.0,Pyroclastic shield,,G,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,
1990,07,19,Santa Maria,Guatemala,Guatemala,14.755999999999998,-91.552,3772.0,Stratovolcano,3.0,T,4.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,
1990,10,19,Aso,Kyushu-Japan,Japan,32.88,131.1,1592.0,Caldera,2.0,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1990,11,21,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470.0,Stratovolcano,,S,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
